sample_id,date,sample_type,ysi_id,field_temp,field_do,field_cond,field_ph,tds,turbidity_1,turbidity_2,colour_1,colour_2,uv_254_1,uv_254_2,feem_file_id,tn_1,tn_2,TOC,DOC,Chloride,Nitrite,Nitrate,Phosphate,Sulfate,Al,P,Fe,...29,...30
banook1,2022-05-24,grab,NA,15.8,9.81,811,7.61,638,0.453,0.429,8,8,0.05,0.05,NA,NA,NA,NA,NA,109216.3251,7891.6156,6.6974,172.9032,81156.97,8.925814,6.905339,39.94629,NA,NA
banook2,2022-05-24,grab,NA,16.4,9.82,829,7.53,645,0.978,0.93,14,14,0.054,0.053,NA,NA,NA,NA,NA,30310.6888,403277.3752,225.7037,453.9391,80420.36,11.38763,7.019582,56.92593,NA,NA
banook1,2022-05-31,grab,NA,17.6,8.56,840,7.86,636,0.519,0.494,9,8,0.05,0.049,NA,NA,NA,2.1955,2.2805,93488.921,36167.492,6.1014,487.3496,64338.33,7.654277,19.6846,38.12335,NA,NA
banook2,2022-05-31,grab,NA,17.5,8.56,845,7.73,641,0.563,0.603,10,11,0.051,0.051,NA,NA,NA,2.185,2.185,70475.1974,84730.6519,6.5559,89.1348,75240.49,8.667709,28.07448,45.95316,NA,NA
banook1,2022-06-07,grab,NA,18.4,8.89,863,5.73,642,0.454,0.402,9,9,0.047,0.048,NA,NA,NA,2.098,2.246,77430.1147,38600.7488,6.5976,18.3177,69500.46,6.523978,8.75699,44.99485,NA,NA
banook2,2022-06-07,grab,NA,19.2,7.35,762,7.42,557,1.35,1.02,12,12,0.05,0.05,NA,NA,NA,2.277,2.284,72502.2211,29942.6807,6.8571,62.1562,69168.49,7.451914,8.175114,51.26585,NA,NA
banook1,2022-06-14,grab,NA,19.9,7.25,821,7.84,627,0.505,0.533,10,11,0.048,0.047,NA,NA,NA,2.1195,2.191,27588.8077,3920.5478,5.0651,18.3689,60867.36,6.846,7.694792,37.8295,NA,NA
banook2,2022-06-14,grab,NA,19.3,7.34,820,7.72,598,1.37,1.11,13,16,0.055,0.048,NA,NA,NA,2.2175,2.228,60060.0028,1444.3497,5.3546,158.5936,59120.96,9.656678,8.524094,51.73142,NA,NA
banook1,2022-06-21,grab,NA,19.6,8.04,857,7.93,621,0.669,0.72,17,15,0.048,0.048,NA,NA,NA,2.205,2.265,60711.8303,2192.5491,5.5124,17.8327,59546.91,6.548527,6.40569,32.0386,NA,NA
banook2,2022-06-21,grab,NA,19.2,6.82,822,7.68,601,1.12,0.913,10,9,0.053,0.048,NA,NA,NA,2.181,2.347,n.a.,212.4616,5.4718,223.3392,56860.55,7.236594,7.472083,45.23232,NA,NA
banook1,2022-06-28,grab,NA,21.3,8.13,876,7.79,612,0.95,1.03,28,27,0.044,0.048,NA,NA,NA,2.345,2.388,8609.425,162843,285.4611,125.4398,52076.16,4.983213,8.404953,25.54845,NA,NA
banook2,2022-06-28,grab,NA,20.9,7.13,843,7.69,595,1.05,1.04,29,34,0.052,0.052,NA,NA,NA,2.305333,2.461333,n.a.,n.a.,310.7825,283.4184,61696.26,11.582,11.65201,78.66396,NA,NA
banook1,2022-07-05,grab,NA,22.3,7.11,895,7.46,613,1.83,1.93,35,33,0.049,0.051,NA,NA,NA,NA,NA,27262.55,237786,3.2122,31.1716,73654.6,3.690584,22.97904,20.43986,NA,NA
banook2,2022-07-05,grab,NA,23.1,6.59,893,7.35,603,1.77,1.96,32,31,0.052,0.052,NA,NA,NA,NA,NA,46578.48,200537.2,3.4148,47.8245,18.8492,3.4861,7.171735,36.73052,NA,NA
banook1,2022-07-11,grab,NA,22.1,6.56,886,7.52,610,1.34,1.32,32,28,0.049,0.049,NA,NA,NA,2.2685,2.262,22890.42,360725.9,3.9125,284.7655,70118.76,3.227997,7.766579,16.73779,NA,NA
banook2,2022-07-11,grab,NA,21.9,5.52,887,7.48,576,2.31,2.55,47,48,0.054,0.053,NA,NA,NA,2.2555,2.3145,22150.89,45281.98,337.4614,173.9796,51826.02,6.75361,9.038793,48.40654,NA,NA
banook1,2022-07-12,grab,NA,23.5,6.54,909,7.27,608,0.737,0.754,14,15,0.047,0.045,NA,NA,NA,2.097,2.25,7103.179,1482.327,342.104,84.7642,48157.29,4.991767,29.79706,10.46145,NA,NA
banook2,2022-07-12,grab,NA,23,5.17,842,7.24,568,1.19,1.35,19,21,0.05,0.049,NA,NA,NA,2.126,2.243,33347.84,212250.1,297.3463,27.578,67831.51,9.594169,33.35895,37.4687,NA,NA
banook1,2022-07-21,grab,NA,24.9,7.77,933,7.85,609,0.974,0.98,16,15,0.046,0.047,NA,NA,NA,2.1195,2.1855,NA,NA,NA,NA,NA,4.351208,7.161473,12.04173,NA,NA
banook2,2022-07-25,grab,NA,24.4,6.7,896,7.69,590,0.959,0.92,16,16,0.05,0.05,NA,NA,NA,2.216,2.234,NA,NA,NA,NA,NA,6.478105,10.77652,23.32585,NA,NA
banook1,2022-07-26,grab,NA,24.2,7.2,924,7.52,611,2.36,2.63,14,15,0.046,0.046,NA,NA,NA,2.281,2.497,NA,NA,NA,NA,NA,15.61524,11.62213,23.6344,NA,NA
banook2,2022-07-26,grab,NA,24,6.74,900,7.49,597,1.5,1.69,18,19,0.049,0.05,NA,NA,NA,2.3185,2.4545,NA,NA,NA,NA,NA,10.64768,10.09301,29.90923,NA,NA
banook1,2022-08-02,grab,NA,25,7.45,937,7.75,609,1.52,1.6,16,16,0.044,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-08-02,grab,NA,24.2,5.71,905,7.64,597,1.7,1.62,18,16,0.047,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-09-06,NA,NA,24.4,7.72,902,7.48,594,0.23,0.194,2,3,0.047,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-09-06,NA,NA,23.4,7.68,853,7.37,572,0.433,0.507,2,2,0.047,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-09-20,NA,NA,19,7.75,816,7.12,597,0.365,0.379,2,0,0.022,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-09-20,NA,NA,17.8,7.63,786,7.15,592,0.238,0.251,1,0,0.025,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-10-04,NA,NA,15.1,9.21,690,7.2,553,0.223,0.275,1,0,0.058,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-10-04,NA,NA,14.3,8.13,631,7.21,515,0.268,0.294,6,1,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-10-11,NA,NA,14.7,8.58,664,7.31,538,0.274,0.188,3,3,0.052,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-10-11,NA,NA,14.1,8.14,617,7.34,506,0.628,0.416,3,2,0.055,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-10-18,NA,NA,15.9,10.12,685,7.59,538,0.052,0.084,1,2,0.056,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-10-18,NA,NA,16,8.05,624,7.38,489.5,4.35,3.02,2,2,0.059,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-10-25,NA,NA,NA,NA,NA,NA,NA,0.672,0.428,2,3,0.055,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-10-25,NA,NA,NA,NA,NA,NA,NA,0.512,0.99,4,3,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-11-01,NA,NA,NA,NA,NA,NA,NA,0.471,0.488,4,3,0.035,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-11-01,NA,NA,NA,NA,NA,NA,NA,0.809,0.747,2,4,0.051,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook1,2022-11-08,NA,NA,NA,NA,NA,NA,NA,0.707,0.794,3,3,0.055,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
banook2,2022-11-08,NA,NA,NA,NA,NA,NA,NA,1.05,1.12,2,3,0.06,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
